URL,Name,Submittor(s),Submittor parties,VVD,PVV,CDA,D66,GroenLinks,SP,PvdA,ChristenUnie,PvdD,50PLUS,DENK,SGP,FvD,Krol,Van Kooten-Arissen
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25062&did=2020D52618,de wetswijziging voltijdbonus voor zorgmedewerkers met spoed naar de Kamer sturen,['Geert Wilders'],['Partij voor de Vrijheid'],,,,,,,,,,,,,,,
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25081&did=2020D52637,de nodige normerende maatregelen voor thuiswerken,['Corrie van Brenk'],['50PLUS'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25060&did=2020D52616,geen winkels sluiten,['Geert Wilders'],['Partij voor de Vrijheid'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25080&did=2020D52636,iedereen uit hetzelfde huishouden op COVID-19 testen,['Farid Azarkan'],['DENK'],0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25075&did=2020D52631,een adequaat wettelijk instrumentarium om tijdig te kunnen ingrijpen bij dreiging van zoönosen,['Esther Ouwehand'],['Partij voor de Dieren'],0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25064&did=2020D52620,zo veel mogelijk administratielast in verpleeghuizen en gehandicapteninstellingen buiten werking stellen,['Geert Wilders'],['Partij voor de Vrijheid'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25079&did=2020D52635,een strategie ontwikkelen hoe om te gaan met de langdurige aanwezigheid van het virus,['Farid Azarkan'],['DENK'],0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25065&did=2020D52621,nadrukkelijk adviseren in binnenruimtes continu te ventileren,['Geert Wilders'],['Partij voor de Vrijheid'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25074&did=2020D52630,een solidariteitsbelasting die ten goede komt aan (lokale/kleine) winkeliers,['Esther Ouwehand'],['Partij voor de Dieren'],0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25071&did=2020D52627,uitbreiding van economische steunpakketten overwegen,"['Lodewijk Asscher', 'Jesse Klaver', 'Kees van der Staaij', 'Geert Wilders', 'Corrie van Brenk', 'Henk Krol', 'Lilian Marijnissen']","['Partij van de Arbeid', 'GroenLinks', 'Staatkundig Gereformeerde Partij', 'Partij voor de Vrijheid', '50PLUS', 'Krol', 'Socialistische Partij']",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25077&did=2020D52633,tijdelijk uitstel van aflossing voor ondernemers,"['Kees van der Staaij', 'Pieter Heerma']","['Staatkundig Gereformeerde Partij', 'Christen-Democratisch Appèl']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25082&did=2020D52638,het opzeggen van het vertrouwen in het kabinet,"['Wybren van Haga', 'Thierry Baudet']","['Forum voor Democratie', 'Forum voor Democratie']",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25061&did=2020D52617,winkels die moeten sluiten voor 100% van de kosten compenseren,['Geert Wilders'],['Partij voor de Vrijheid'],0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25073&did=2020D52629,een tijdelijk vliegverbod instellen,['Esther Ouwehand'],['Partij voor de Dieren'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25063&did=2020D52619,loslaten van de beperking tot twee personen in de buitenlucht,['Geert Wilders'],['Partij voor de Vrijheid'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25070&did=2020D52626,het huidige steunpakket voor kinderen voorzien van aanvullende concrete plannen,"['Lodewijk Asscher', 'Rob Jetten', 'Pieter Heerma', 'Kees van der Staaij', 'Lilian Marijnissen', 'Jesse Klaver']","['Partij van de Arbeid', 'Democraten 66', 'Christen-Democratisch Appèl', 'Staatkundig Gereformeerde Partij', 'Socialistische Partij', 'GroenLinks']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25083&did=2020D52639,testen op mogelijk vitamine D-tekort,['Henk Krol'],['Krol'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25084&did=2020D52640,het coronabeleid,['Femke Merel van Kooten-Arissen'],['Van Kooten-Arissen'],0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25066&did=2020D52622,het aantal niet-noodzakelijke vliegreizen vanaf Schiphol minimaliseren,"['Pieter Heerma', 'Klaas Dijkhoff', 'Rob Jetten', 'Gert-Jan Segers']","['Christen-Democratisch Appèl', 'Volkspartij voor Vrijheid en Democratie', 'Democraten 66', 'ChristenUnie']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
